Annex of co-formulants not accepted for inclusion in PPPs
Note: Group entries are split in different rows.
Export date: 26/03/2025 20:20:26
Header

"Substance Identifier"	""	



""	""	""	""	""	
"Phenol, 4-(2-propylpentyl)-"	"-"	"119747-99-8"	"106"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(5,5-dimethylhexyl)-"	"-"	"13330-52-4"	"110"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-(5-methylheptyl)-"	"-"	"1824164-95-5"	"104"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-isooctyl-"	"248-164-4"	"27013-89-4"	"89"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-nonyl-, branched"	"284-325-5"	"84852-15-3"	"65"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, 4-sec-octyl-"	"248-330-6"	"27214-47-7"	"90"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, nonyl-, branched"	"291-844-0"	"90481-04-2"	"66"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Phenol, sec-octyl-"	"299-461-0"	"93891-78-2"	"91"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly(oxy-1,2-ethanediyl), α-(isononylphenyl)-ω-hydroxy-"	"609-346-2"	"37205-87-1"	"79"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly(oxy-1,2-ethanediyl), α-(isooctylphenyl)-ω-hydroxy-"	"618-400-4"	"9004-87-9"	"129"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly(oxy-1,2-ethanediyl), α-(octylphenyl)-ω-hydroxy-, branched"	"614-869-4"	"68987-90-6"	"120"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly(oxy-1,2-ethanediyl), α-[(1,1,3,3-tetramethylbutyl)phenyl]-ω-hydroxy-"	"618-541-1"	"9036-19-5"	"114"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly(oxy-1,2-ethanediyl), α-[4-(1,1,3,3-tetramethylbutyl)phenyl]-ω-hydroxy-"	"618-344-0"	"9002-93-1"	"115"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly(oxy-1,2-ethanediyl), α-[4-(1-methylheptyl)phenyl]-ω-hydroxy-"	"-"	"73935-42-9"	"124"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly(oxy-1,2-ethanediyl), α-[4-(6-methylheptyl)phenyl]-ω-hydroxy-"	"-"	"59379-12-3"	"121"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Poly[iminocarbonimidoyliminocarbonimidoylimino-1,6-hexanediyl], hydrochloride"	"608-723-9"	"32289-58-0"	"32"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Prop-2-enamide"	"201-173-7"	"79-06-1"	"141"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Pyridine, alkyl derivatives"	"269-929-9"	"68391-11-7"	"142"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Quinoline"	"202-051-6"	"91-22-5"	"143"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Tetraboron disodium heptaoxide, hydrate"	"235-541-3"	"12267-73-1"	"29"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Tetrahydrofurfuryl alcohol"	"202-625-6"	"97-99-4"	"144"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
"Tremolite asbestos"	"616-473-7"	"77536-68-6"	"18"	"1 The limit for the acceptable presence of the substances listed in the table as unintentional impurity in the finished product is 0,1 % (weight by weight (w/w)) except where stated otherwise in this Annex3 From recital 14 in Regulation 2021/383/EU: The individual concentration of the unacceptable co-formulants in the finished plant protection product or adjuvant should be less than 0,1 % weight by weight (w/w) or less than a specific concentration limit related to CMR properties (carcinogenic, mutagenic and reprotoxic), when established in Annex VI to Regulation (EC) No 1272/2008 for the unacceptable co-formulant at a level lower than 0,1 % weight by weight (w/w), in order to be considered as acceptable unintentional impurity, unless a different limit is provided due to technical limitations of relevant analytical methods"	
