Chemical Name;CAS Number;Alternative Name
1-Dodecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-, 1,1'-(hydrogen phosphate);1895-26-7;
Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-12-iodo-;2043-54-1;
Dodecanoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-;53826-13-4;
1,2-Tridecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-heneicosafluoro-, 1-(dihydrogen phosphate);94158-70-0;
2-Tridecanol, 1-[[3-(dimethylamino)propyl]amino]-4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-heneicosafluoro-;94159-80-5;
1,2-Tridecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-heneicosafluoro-, 1-(dihydrogen phosphate), diammonium salt (9CI);94200-46-1;
1,2-Pentadecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15-pentacosafluoro-, 1-(dihydrogen phosphate), diammonium salt (9CI);94200-47-2;
1,2-Heptadecanediol, 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17-nonacosafluoro-, 1-(dihydrogen phosphate), diammonium salt (9CI);94200-48-3;
2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, α-(2-methyl-1-oxo-2-propenyl)-ω-[(2-methyl-1-oxo-2-propenyl)oxy]poly(oxy-1,2-ethanediyl), 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluorohexadecyl 2-propenoate, octadecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,18-tritriacontafluorooctadecyl 2-propenoate (9CI);116984-14-6;
Poly[oxy(methyl-1,2-ethanediyl)], α-[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl]-ω-hydroxy-;68259-38-1;
Oxirane, 2-methyl-, polymer with oxirane, mono[2-hydroxy-3-[(γ-ω-perfluoro-C8-20-alkyl)thio]propyl] ethers;183146-60-3;
2-Propenoic acid, 2-methyl-, C10-16-alkyl esters, polymers with 2-hydroxyethyl methacrylate, Me methacrylate and γ-ω-perfluoro-C8-14-alkyl acrylate;129783-45-5;
Benzoic acid, 2,3,4,5-tetrachloro-6-[[(3-hydroxyphenyl)amino]carbonyl]-, perfluoro-C6-8-alkanesulfonates (esters), monopotassium salts;160305-97-5;
Sulfonamides, C4-8-alkane, perfluoro, N-(3-chloro-2-hydroxypropyl)-N-methyl;1645842-67-6;
Alkyl iodides, C4-20, γ-ω-perfluoro;68188-12-5;
1,3-Propanediol, 2,2-bis[[(γ-ω-perfluoro-C6-12-alkyl)thio]methyl] derivs., phosphates, ammonium salts;148240-87-3;
2-Propenoic acid, butyl ester, polymers with 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl acrylate;160336-17-4;
Sulfonamides, C4-8-alkane, perfluoro, N-ethyl-N-(hydroxyethyl), reaction products with 2-ethyl-1-hexanol, Me Et ketone oxime and polymethylenepolyphenylene isocyanate;160901-26-8;
Sulfonamides, C4-8-alkane, perfluoro, N-[3-(dimethyloxidoamino)propyl], potassium salts;179005-06-2;
2-Propenoic acid, 2-methyl-, 2-[[[[5-[[[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl ester, telomer with butyl 2-propenoate, 2-[[[[5-[[[2-[ethyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl 2-methyl-2-propenoate, 2-[[[[5-[[[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl 2-methyl-2-propenoate, 2-[[[[5-[[[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl 2-methyl-2-propenoate, 2-[[[[5-[[[2-[ethyl[(1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl)sulfonyl]amino]ethoxy]carbonyl]amino]-2-methylphenyl]amino]carbonyl]oxy]propyl 2-methyl-2-propenoate, 2-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 1-octanethiol;68298-78-2;
Sulfonamides, C4-8-alkane, perfluoro, N-[4,7-dimethyl-4-[[(1-methylpropylidene)amino]oxy]-3,5-dioxa-6-aza-4-silanon-6-en-1-yl]-N-ethyl;944578-05-6;
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, neodymium(3+) salt (3:1);41184-65-0;
Sulfonium, triphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1);144116-10-9;
Methanaminium, N,N,N-trimethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1);189274-31-5;
Iodonium, bis[4-(1,1-dimethylpropyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid;421555-74-0;
Iodonium, bis[(1,1-dimethylethyl)phenyl]-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6 tridecafluoro-1-hexanesulfonic acid (1:1) (9CI);866621-50-3;
Phosphoric acid, mono(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl) mono(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl) ester;1158182-61-6;
Bis[2-chloro-4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)undecyl] hydrogen phosphate;63295-26-1;
Bis[(perfluorooctyl)undecyl] hydrogen phosphate;2343-53-5;
Phosphoric acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl bis(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl) ester;1578186-53-4;
3,6,9,12-Tetraoxadocosan-1-ol, 15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,22-heptadecafluorodimethyl-;88271-22-1;
3,6,9,12-Tetraoxadocosan-1-ol, 15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,22-heptadecafluorotetramethyl-;88243-14-5;
3,6,9,12,15-Pentaoxapentacosan-1-ol, 18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,25-heptadecafluoropentamethyl-;88243-15-6;
3,6,9,12,15,18-Hexaoxaoctacosan-1-ol, 21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,28-heptadecafluoro-;88247-39-6;
1-Propanaminium, 3-[[4-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]-1,4-dioxo-2-buten-1-yl]amino]-N,N,N-trimethyl-, iodide (1:1);121912-26-3;
Ethanaminium, N-ethyl-2-[[[[3-[[[[3-[[[[3-[[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]carbonyl]amino]methylphenyl]amino]carbonyl]amino]methylphenyl]amino]carbonyl]amino]methylphenyl]amino]carbonyl]oxy]-N,N-dimethyl-, ethyl sulfate;100155-23-5;
1-Decanamine, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-N,N-dimethyl-, N-oxide;;
1-Dodecanamine, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoro-N,N-dimethyl-, N-oxide;;
Ethanaminium, N-ethyl-2-[[[[3-[[[3-[[[3-[[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]carbonyl]amino]methylphenyl]carbonimidoyl]amino]methylphenyl]carbonimidoyl]amino]methylphenyl]amino]carbonyl]oxy]-N,N-dimethyl-, ethyl sulfate;100107-48-0;
Butanedioic acid, 2-sulfo-, 1,4-bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) ester, sodium salt (1:1);54950-06-0;
Acetic acid, 2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-, lithium salt (1:1);441765-12-4;
Propanoic acid, 3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-;54207-62-4;
Propanoic acid, 3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-, lithium salt (1:1);481050-04-8;
1-Propanaminium, 3-[[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]acetyl]amino]-N,N,N-trimethyl-;1513864-01-1;
1-Propanaminium, N-ethyl-3-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-2-methyl-1-oxopropyl]amino]-N,N-dimethyl-, ethyl sulfate (1:1);67333-62-4;
1-Propanaminium, N-(carboxymethyl)-3-[[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]acetyl]amino]-N,N-dimethyl-, inner salt;1513863-96-1;
1-Propanaminium, N-(carboxymethyl)-3-[[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]acetyl]amino]-N,N-dimethyl-, inner salt;1513863-97-2;
1-Dodecanesulfonamide, N-[3-(dimethylamino)propyl]-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-;34455-24-8;
Ethanaminium, N-(2-carboxyethyl)-2-[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfonyl]amino]-N,N-dimethyl-, inner salt;34695-29-9;
Ethanaminium, N-(2-carboxyethyl)-2-[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)sulfonyl]amino]-N,N-dimethyl-, inner salt;34695-31-3;
Glycine, N-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfonyl]-N-propyl-, lithium salt;441765-18-0;
Phosphinic acid, P-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)-P-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)-;610800-34-5;
Sulfonic acids, C6-12-alkane, perfluoro, potassium salts;68391-09-3;
Sulfonic acids, C6-12-alkane, perfluoro;93572-72-6;
Fatty acids, C18-unsatd., trimers, 2-[methyl[(perfluoro-C4-8-alkyl)sulfonyl]amino]ethyl esters;161074-58-4;
Sulfonamides, C4-8-alkane, perfluoro, N-ethyl-N-(hydroxyethyl), reaction products with poly(Bu acrylate) and polyethylene-polypropylene glycol mono-Bu ether;222716-67-8;
2-Propenoic acid, ethyl ester, polymer with 4-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]methylamino]butyl 2-propenoate, 4-[methyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]butyl 2-propenoate, α-(2-methyl-1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,4-butanediyl), α-(2-methyl-1-oxo-2-propen-1-yl)-ω-hydroxypoly(oxy-1,2-ethanediyl), α-(2-methyl-1-oxo-2-propen-1-yl)-ω-[(2-methyl-1-oxo-2-propen-1-yl)oxy]poly(oxy-1,4-butanediyl), α-(2-methyl-1-oxo-2-propen-1-yl)-ω-[(2-methyl-1-oxo-2-propen-1-yl)oxy]poly(oxy-1,2-ethanediyl), 4-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptyl)sulfonyl]amino]butyl 2-propenoate, 4-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]butyl 2-propenoate and 4-[methyl[(1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl)sulfonyl]amino]butyl 2-propenoate;68228-00-2;
β-Alanine, N-(2-carboxyethyl)-N-[6-[[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfonyl]amino]hexyl]-, dipotassium salt;98900-53-9;
Benzenesulfonic acid, 4-[[[3-(methylamino)propyl](2,2,3,3,4,4 ,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]methyl]-, sodium salt (1:1);98900-75-5;
Octanamide, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-N-[3-(trimethoxysilyl)propyl]-;98046-76-5;
Poly(oxy-1,2-ethanediyl), α-[dimethoxy[3-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]propyl]silyl]-ω-[[dimethoxy[3-[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]propyl]silyl]oxy]-;154380-30-0;
1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluoro-1-hexanesulfonyl bromide;111393-39-6;
4-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)aniline;147029-28-5;
2-[1-(Phenylsulfanyl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]thiophene;89863-48-9;
2-[1-(Phenylsulfanyl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]furan;89863-49-0;
1-Methyl-4-[1-(phenylsulfanyl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]benzene;89863-50-3;
2-[1-Nitro-3-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)propan-2-yl]thiophene;89863-55-8;
2-[1-Nitro-3-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)propan-2-yl]furan;89863-56-9;
N2-Benzyl pentachlorophenyl N2-carboxy-L-(2-aminoglutaramate);13673-51-3;
Perchlorophenyl N-(benzyloxycarbonyl)-L-isoleucinate;13673-53-5;
Pentachlorophenyl N-[[(4-methoxyphenyl)methoxy]carbonyl]-L-serinate;23234-97-1;
2-Propenoic acid, 2-methyl-, 2-ethylhexyl ester, polymer with 2-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(1,1,2,2,3,3,4,4,5,5,5-undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 2-oxiranylmethyl 2-methyl-2-propenoate;68797-76-2;
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, zinc salt;70136-72-0;
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, compd. with N,N-diethylethanamine (1:1);72033-41-1;
1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, cesium salt (1:1);92011-17-1;
1-Butanaminium, N,N,N-tributyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid;108427-54-9;
Sulfonium, (4-methylphenyl)diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1);910606-39-2;
Sulfonium, [4-[(2-methyl-1-oxo-2-propen-1-yl)oxy]phenyl]diphenyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1);911027-68-4;
Sulfonium, [4-[(2-methyl-1-oxo-2-propenyl)oxy]phenyl]diphenyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonic acid (1:1), polymer with 2-ethyltricyclo[3.3.1.13,7]dec-2-yl 2-methyl-2-propenoate, 3-hydroxytricyclo[3.3.1.13,7]dec-1-yl 2-methyl-2-propenoate and tetrahydro-2-oxo-3-furanyl 2-methyl-2-propenoate;911027-69-5;
Dibenzo[k,n][1,4,7,10,13]tetraoxathiacyclopentadecinium, 19-[4-(1,1-dimethylethyl)phenyl]-6,7,9,10,12,13-hexahydro-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1);928049-42-7;
Naphthalene, chloro derivatives;70776-03-3;
1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”™) covering any of its individual anti- and syn-isomers or any combination thereof;;
Phosphonium, triphenyl(phenylmethyl)-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1);1000597-52-3;
Ethanaminium, N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1);1310480-24-0;
2,3,3',4,4',5'-Hexachlorobiphenyl;69782-90-7;
2,3,3',4,4'-Pentachlorobiphenyl;32598-14-4;
2,3,4,5,3',4',5'-Heptachlorobiphenyl;39635-31-9;
3,4,5,3',4'-Pentachlorobiphenyl;57465-28-8;
1,2,3,6,7,8-Hexachlorodibenzofuran;57117-44-9;
Octadecanoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester;99955-83-6;
Methanaminium, N-[4-[[4-(dimethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidene]-N-methyl-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1);1310480-27-3;
2,3,3',4,4',5-Hexachlorobiphenyl;38380-08-4;
2,3,4,4'5-Pentachlorobiphenyl;74472-37-0;
1,2,3,7,8-Pentachlorodibenzofuran;57117-41-6;
1,2,3,4,7,8-Hexachlorodibenzofuran;70648-26-9;
Methoxychlor;72-43-5;
Octanoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-, lithium salt (1:1);17125-58-5;
Undecanoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoro-;191852-87-6;
Diphosphoric acid, mono(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) ester, compd. with 2-aminoethanol (1:3);98005-84-6;
Phosphoric acid, mono(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) mono(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl) ester;1578186-42-1;
Phosphoric acid, bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl ester;1578186-56-7;
Phosphoric acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl bis(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl) ester;1578186-57-8;
Ethanol, 2-[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]ethoxy]-;56900-98-2;
Ethanol, 2-[2-[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]methylethoxy]methylethoxy]-;88243-12-3;
3,6,9,12,15,18-Hexaoxaoctacosan-1-ol, 21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,28-heptadecafluorohexamethyl-;88243-16-7;
3,6,9,12,15,18,21,24-Octaoxatetratriacontan-1-ol, 27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34-heptadecafluoro-;88247-40-9;
Tridecanoic acid, 27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34-heptadecafluoro-3,6,9,12,15,18,21,24-octaoxatetratriacont-1-yl ester;67535-33-5;
1-Decanaminium, N,N-diethyl-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-2-hydroxy-N-methyl-, iodide (1:1);99679-40-0;
1-Decanaminium, N-(carboxymethyl)-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-N,N-dimethyl-;2089109-26-0;
1-Decanaminium, N-(carboxymethyl)-3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-N,N-dimethyl-, inner salt;145441-32-3;
2-Propenamide, telomer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-1-decanethiol;76830-13-2;
1-Decanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-, potassium salt (1:1);438237-73-1;
Ethanesulfonic acid, 2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-, lithium salt (1:1);441765-14-6;
2-Propanol, 1-[(2-dodecylhexadecyl)oxy]-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-;160819-50-1;
Ethanaminium, 2-[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]ethoxy]-N,N,N-trimethyl-, iodide (1:1);71625-52-0;
Acetamide, N-[3-(dimethylamino)propyl]-2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]-;1513863-92-7;
Butanoic acid, 4-[[3-(dimethylamino)propyl]amino]-2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]-4-oxo-;1383438-90-1;
1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]-1-oxopropyl]amino]-2-methyl-;690947-60-5;
1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)sulfinyl]-1-oxopropyl]amino]-2-methyl-;1513864-11-3;
1-Octanesulfonamide, N-[3-(dimethyloxidoamino)propyl]-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-N-methyl-;80475-34-9;
2-Propenoic acid, polymer with 2-ethenylnaphthalene and 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-heptadecafluoro-2-hydroxyundecyl 2-propenoate;934505-67-6;
Octanamide, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-N-(14-hydroxy-3,6,9,12-tetraoxatetradec-1-yl)-;89932-71-8;
Piperazinium, 1-(2-hydroxyethyl)-1-methyl-4-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)-, chloride (1:1);103555-98-2;
1-Propanesulfonic acid, 3-[(3-aminopropyl)(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]-2-hydroxy-, sodium salt (1:1);98900-76-6;
Hexane, 1-(ethenylsulfonyl)-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-;680187-86-4;
2-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulfonyl)ethenyl]thiophene;86525-43-1;
1-Methyl-4-[2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethenyl]benzene;86525-51-1;
3-[1-(Thiophen-2-yl)-2-(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonyl)ethyl]pentane-2,4-dione;89863-63-8;
2,2′,4,4′,5,6′-Hexabromodiphenyl ether;207122-15-4;
Acetic acid, 2,2-dichloro-, 2,3,4,5,6-pentachlorophenyl ester;19745-69-8;
Zinc bis(pentachlorophenolate);2917-32-0;
1,2-Dibromo-4-(3,4-dibromophenoxy)benzene;93703-48-1;
1,3,5-Tribromo-2-(4-bromophenoxy)benzene;189084-63-7;
1,2,3-Tribromo-4-(2,4-dibromophenoxy)benzene;182346-21-0;
2,4'-Dichlorobiphenyl;34883-43-7;
Pentachlorobiphenyl;25429-29-2;
3-Chlorobiphenyl;2051-61-8;
Dichlorobiphenyl;25512-42-9;
1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene, anti-;135821-74-8;
1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene, syn-;135821-03-3;
3,4,3',4'-Tetrachlorobiphenyl;32598-13-3;
3,4,4',5-Tetrachlorobiphenyl;70362-50-4;
3,4,5,3',4',5'-Hexachlorobiphenyl;32774-16-6;
Pentanedioic acid, 3-[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]-2-oxoethyl]-3-hydroxy-, 1,5-bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) ester;302911-86-0;
2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl ester, homopolymer;74049-08-4;
